From Date,To Date,PM2.5,PM10,NO,NO2,NOx,SO2,CO,Ozone
22-02-2023 00:00,23-02-2023 00:00,37.08,98.14,5.44,7.11,11.9,6.05,1.44,11.79
23-02-2023 00:00,24-02-2023 00:00,31.22,87.69,5.25,7.2,11.8,6.25,1.19,11.84
24-02-2023 00:00,25-02-2023 00:00,32.94,81.09,4.47,6.38,10.65,6.31,1.09,15.91
25-02-2023 00:00,26-02-2023 00:00,32.13,102.38,4.11,6.58,10.48,7.52,1.03,18.05
26-02-2023 00:00,27-02-2023 00:00,26.58,98.36,4.93,7.86,12.46,6.59,1.73,12.38
27-02-2023 00:00,28-02-2023 00:00,31.74,105.08,5.99,5.65,11.53,8.76,0.46,20.73
28-02-2023 00:00,01-03-2023 00:00,30.44,89.52,6.33,6.23,12.22,9.84,0.43,16.28
01-03-2023 00:00,02-03-2023 00:00,24.96,86.52,7.99,5.19,12.6,7.62,0.62,14.11
02-03-2023 00:00,03-03-2023 00:00,26.46,83.26,5.71,5.7,11.16,7.17,0.91,12.89
03-03-2023 00:00,04-03-2023 00:00,21.31,67.88,5.69,8.01,13.69,7.68,1.05,17.64
04-03-2023 00:00,05-03-2023 00:00,27.37,80.26,8,7.28,14.99,7.45,0.9,22.44
05-03-2023 00:00,06-03-2023 00:00,32.37,79.86,6.75,6.58,12.73,7.72,1.19,16.26
06-03-2023 00:00,07-03-2023 00:00,31.07,79.74,4.14,6.97,10.75,7.48,1.03,13.2
07-03-2023 00:00,08-03-2023 00:00,32.97,81.78,4.73,7.19,11.32,6.68,0.79,13.66
08-03-2023 00:00,09-03-2023 00:00,30.68,86.65,4.96,7.28,11.43,7.69,0.52,18.32
09-03-2023 00:00,10-03-2023 00:00,32.88,93.05,5.55,7.98,12.89,7.85,0.76,17.45
10-03-2023 00:00,11-03-2023 00:00,35.62,92.1,4.81,7.14,11.39,5.54,0.88,15.72
11-03-2023 00:00,12-03-2023 00:00,31.2,79.83,4.94,5.16,9.77,6.79,0.72,16.94
12-03-2023 00:00,13-03-2023 00:00,35.76,89.71,5.47,6.44,11.93,9.97,0.52,19.06
13-03-2023 00:00,14-03-2023 00:00,36.32,97.63,4.89,8.39,13.15,8.9,0.74,17.15
14-03-2023 00:00,15-03-2023 00:00,34.06,100.5,6.06,6.96,12.46,7.3,0.96,15.14
15-03-2023 00:00,16-03-2023 00:00,42.78,89.38,5.31,6.24,11.22,6.14,0.67,14.23
16-03-2023 00:00,17-03-2023 00:00,43.41,76.13,4.97,7.29,11.86,6.35,0.85,13.58
17-03-2023 00:00,18-03-2023 00:00,50.77,67.34,6.04,6.09,11.56,7.2,0.54,13.16
18-03-2023 00:00,19-03-2023 00:00,45.57,68.99,7.04,5.04,11.53,7.33,0.66,13.23
19-03-2023 00:00,20-03-2023 00:00,23.26,101.35,6.77,4.28,10.64,7.38,0.73,15.62
20-03-2023 00:00,21-03-2023 00:00,32.5,101.14,5.41,6.23,11.21,6.76,0.73,14.29
21-03-2023 00:00,22-03-2023 00:00,35.57,104.35,4.89,8.39,12.74,6.61,0.73,15.83
22-03-2023 00:00,23-03-2023 00:00,36.07,101.94,6.62,6.91,13.04,8.58,0.73,18.31
23-03-2023 00:00,24-03-2023 00:00,41.27,91.19,6.52,4.76,11.03,5.54,0.73,12.39
24-03-2023 00:00,25-03-2023 00:00,29.9,75.57,5.08,6.8,11.5,7.03,0.73,14.37
25-03-2023 00:00,26-03-2023 00:00,27.13,77.46,5.55,7.17,12.33,7.52,0.73,15.14
26-03-2023 00:00,27-03-2023 00:00,28.29,81.09,6.43,5.75,11.86,6.17,0.73,15.38
27-03-2023 00:00,28-03-2023 00:00,38.78,84.32,5.85,6.92,12.43,8.41,0.55,16.23
28-03-2023 00:00,29-03-2023 00:00,37.73,92.53,5.03,7.16,11.73,7.37,0.39,16.89
29-03-2023 00:00,30-03-2023 00:00,20.54,88.2,6.25,5.98,11.91,7.64,0.33,15.62
30-03-2023 00:00,31-03-2023 00:00,8.59,77.17,6.57,6.25,12.2,7.09,0.42,13.17
31-03-2023 00:00,01-04-2023 00:00,15.24,73.26,4.63,6.16,9.96,7.06,0.35,12.88
01-04-2023 00:00,02-04-2023 00:00,27.83,80.56,4.73,6.73,10.92,7.4,0.39,15.08
02-04-2023 00:00,03-04-2023 00:00,29.43,82.93,6,6.77,12.4,7.64,0.36,12.9
03-04-2023 00:00,04-04-2023 00:00,34.52,87.32,5.44,6.08,11.22,7.21,0.28,13.1
04-04-2023 00:00,05-04-2023 00:00,37.58,93.95,4.18,6.66,10.52,7.1,0.33,14.97
05-04-2023 00:00,06-04-2023 00:00,86.6,123.18,5.59,8.71,13.61,7.81,0.02,18.51
06-04-2023 00:00,07-04-2023 00:00,43.85,93.78,5.09,8.19,12.63,7.32,0.31,15.62
07-04-2023 00:00,08-04-2023 00:00,28.65,96.55,5,8.32,12.96,8.18,0.3,18.63
08-04-2023 00:00,09-04-2023 00:00,35.23,92.29,6.51,7.12,13.92,8.52,0.31,19.76
09-04-2023 00:00,10-04-2023 00:00,22.7,89.18,6.89,6.28,13.36,7.18,0.43,14.45
10-04-2023 00:00,11-04-2023 00:00,25.9,81.39,6.07,5.61,11.02,8.04,0.4,17.26
11-04-2023 00:00,12-04-2023 00:00,40.03,89.96,4.52,5.25,9.24,7.26,0.56,16.07
12-04-2023 00:00,13-04-2023 00:00,36.6,86.52,4.21,6.25,9.94,6.63,0.59,16.02
13-04-2023 00:00,14-04-2023 00:00,36.18,83.07,5.24,7.87,12.62,8.66,0.58,17.03
14-04-2023 00:00,15-04-2023 00:00,37.55,95.97,4.4,7.64,11.59,7.67,0.57,15.16
15-04-2023 00:00,16-04-2023 00:00,39.15,77.87,4.72,7.98,10.91,7.05,0.32,17.32
16-04-2023 00:00,17-04-2023 00:00,41.12,84.35,6.37,8.13,12.64,7.87,0.63,13.1
17-04-2023 00:00,18-04-2023 00:00,39.77,86.5,8.16,6.64,14.47,7.61,0.95,15.52
18-04-2023 00:00,19-04-2023 00:00,59,89.03,7.4,5.93,13.22,7.53,0.86,15.08
19-04-2023 00:00,19-04-2023 10:32,51.62,97.04,6.46,5.49,11.97,8.06,1,13.25
